Username,Choice,Value,Year,Month,Day,Time,Comment
Alfred,Internet,55,2024,03,26,17:25:55,none
Alfred,Gas,698,2024,03,26,17:26:09,"this is me
"
Alfred,Food,2535,2024,03,26,17:26:20,sggetssy
Alfred,Utilities,56645,2024,03,26,17:26:37,"random stuff that I am paying for you cheap fuck
"
Farid,Other,456,2024,03,26,17:27:05,because I don't know what to pay for 
Farid,Cat,-10,2024,03,26,17:27:19,"bcs I am retarded
"
Farid,Rent,6456,2024,03,26,17:27:38,"stop reading the comments
"
Alfred,Insurance,25,2024,03,26,17:28:25,I really pay for everything
Alfred,Other,4,2024,03,26,17:28:49,safdddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddssssseeeeeeeeeeeeeeeeeeeeeeeewwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
Farid,Food,45,2024,03,26,17:29:51,"might as well
"
Alfred,Cat,5,2024,03,27,01:52:22,none
Alfred,Cat,1,2024,03,27,01:52:28,none
