Username,Log,Comment
Alfred,"Internet: 55 euros added. (26/03/2024, 17:25:55).",none
Alfred,"Gas: 698 euros added. (26/03/2024, 17:26:09).","this is me
"
Alfred,"Food: 2535 euros added. (26/03/2024, 17:26:20).",sggetssy
Alfred,"Utilities: 56645 euros added. (26/03/2024, 17:26:37).","random stuff that I am paying for you cheap fuck
"
Farid,"Other: 456 euros added. (26/03/2024, 17:27:05).",because I don't know what to pay for 
Farid,"Cat: -10 euros added. (26/03/2024, 17:27:19).","bcs I am retarded
"
Farid,"Rent: 6456 euros added. (26/03/2024, 17:27:38).","stop reading the comments
"
Alfred,"Insurance: 25 euros added. (26/03/2024, 17:28:25).",I really pay for everything
Alfred,"Other: 4 euros added. (26/03/2024, 17:28:49).",safdddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddssssseeeeeeeeeeeeeeeeeeeeeeeewwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
Farid,"Food: 45 euros added. (26/03/2024, 17:29:51).","might as well
"
Alfred,"Cat: 5 euros added. (27/03/2024, 01:52:22).",none
Alfred,"Cat: 1 euros added. (27/03/2024, 01:52:28).",none

Alfred,"Electricity: 4 euros added. (27/03/2024, 02:19:00).",none
Alfred,"Rent: 7 euros added. (27/03/2024, 02:19:19).",none
Alfred,"Rent: 4 euros added. (27/03/2024, 02:19:25).",none
Alfred,"Rent: 8 euros added. (27/03/2024, 02:19:30).",none
Alfred,"Electricity: 4 euros added. (27/03/2024, 02:19:38).",none
Farid,"Gas: 559 euros added. (27/03/2024, 14:41:08).","only thing i'll pay
"
Farid,"Insurance: 44 euros added. (27/03/2024, 14:45:30).",just adding for the sake of it
Farid,"Internet: 43 euros added. (27/03/2024, 14:46:41).",none
Farid,"Utilities: 545 euros added. (27/03/2024, 15:19:12).",the comment
Farid,"Gas: 5454 euros added. (27/03/2024, 22:38:21).",none
